Quantity,References,Value / part,Footprint,Supplier / ordering note
1,U1,MAX98357AETE+T,TQFN-16 3x3 mm,JLCPCB C910544
1,U2,AMS1117-3.3,SOT-223,JLCPCB C6186; verify output-cap ESR requirement
1,U3,ESP32-WROOM-32E-N8,ESP32-WROOM-32E module,JLCPCB C701342
1,U4,CH340C,SOP-16,JLCPCB C84681; USB-to-UART bridge with internal clock
1,U5,TPS630701RNMR,VQFN-15 3x2.5 mm,JLCPCB C2876599; fixed 5 V buck-boost
1,J1,MicroXNJ,Micro-USB-B hybrid SMD/through-hole,JLCPCB C404969; 5 V input with USB 2.0 data
1,J2,2-pin 5.08 mm speaker connector,Right-angle through-hole,Choose to suit enclosure and speaker lead
1,J4,PJ-320D 3.5 mm audio jack,Right-angle SMD,JLCPCB C431535; passive speaker output only
1,J5,S2B-PH-K-S(LF)(SN),JST-PH 2-pin right-angle through-hole,JLCPCB C173752; pin 1 BAT+ and pin 2 BAT-
1,BT1,External 4xAA battery holder with keyed lead,Off-board,Use four matched alkaline or NiMH AA cells; no charging circuit
1,F1,1.1 A 6 V resettable fuse,1206,PPTC resettable fuse for USB input
1,F2,2 A ≥16 V resettable fuse,1812,PPTC resettable fuse for battery input
3,"D2,D3,D4",SS34,SMA,JLCPCB C8678; power isolation and reverse-polarity protection
1,L1,1.5 µH XFL4020-152MEC,4x4 mm shielded inductor,JLCPCB C3033018; ≥4.6 A saturation rating
5,"R3,R4,R6,R7,R8",10 kΩ 1%,0603,Pull-ups
1,R5,634 kΩ 1%,0603,MAX98357A mono-mix / enable mode resistor
1,R9,1 kΩ,2512,Status LED current limit and single-layer crossover
2,"R10,R11",22 Ω,0603,USB D+ and D- series termination
1,R17,0 Ω,0603,Control-rail single-layer link
8,"R15,R18-R21,R24,R25,R28",0 Ω,2512,Wide single-layer crossover links; required for assembly
4,"R22,R23,R26,R27",0 Ω,1206,UART single-layer crossover links; required for assembly
2,"C1,C2",22 µF ≥6.3 V,1206,LDO input/output bulk; observe regulator ESR requirement
4,"C3,C6,C9,C10",10 µF ≥10 V,0805,ESP32 amplifier and buck-boost input bulk
4,"C4,C7,C8,C16",100 nF ≥10 V,0603,High-frequency and VAUX bypass
1,C5,1 µF ≥6.3 V,0603,ESP32 enable delay
2,"C11,C15",10 µF ≥10 V,0603,Buck-boost local input/output bypass
3,"C12-C14",22 µF ≥10 V,0805,Buck-boost output bulk
5,"SW1-SW5",Momentary tactile switch,Kicad SW_SPST_PTS810,Reset boot and playback controls
1,D1,Blue LED,0603,Status indicator
1,LS1,4–8 Ω speaker ≥3 W,Wired off-board,Connect only between SPK_POS and SPK_NEG
